feedback_id,ride_id,user_rating,captain_rating,issue_category,comments
FDBK000001,RIDE046116,1,1,Unsafe Driving / Speeding,Captain was polite and helpful
FDBK000002,RIDE055862,2,1,No Helmet Provided,Bike was not clean
FDBK000003,,5,1,Route Issues / Longer Route Taken,Captain arrived late
FDBK000004,RIDE076479,4,4,Navigation Confusion,Fare charged was higher than expected
FDBK000005,RIDE003563,5,3,No Helmet Provided,Ride was smooth and quick
FDBK000006,RIDE046792,3,4,Bike in Poor Condition,Fare charged was higher than expected
FDBK000007,RIDE013996,5,4,No Helmet Provided,Ride experience could be better
FDBK000008,RIDE018211,1,5,Bike in Poor Condition,Traffic was handled well
FDBK000009,RIDE025167,1,3,Captain Rude or Unfriendly,Bike was not clean
FDBK000010,RIDE064742,3,,Long Wait Time,Bike was not clean
FDBK000011,RIDE064690,2,1,Captain Arrived Late,Fare charged was higher than expected
FDBK000012,RIDE011871,2,2,Route Issues / Longer Route Taken,Ride experience could be better
FDBK000013,RIDE068165,2,4,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK000014,RIDE035609,4,4,Bike in Poor Condition,Ride experience could be better
FDBK000015,RIDE072616,2,,Captain Arrived Late,Captain arrived late
FDBK000016,RIDE047669,3,3,Unsafe Driving / Speeding,Traffic was handled well
FDBK000017,RIDE079151,3,,No Helmet Provided,Traffic was handled well
FDBK000018,RIDE027388,2,2,No Issues,Ride was smooth and quick
FDBK000019,RIDE057154,5,2,Captain Rude or Unfriendly,Traffic was handled well
FDBK000020,RIDE029775,3,5,Navigation Confusion,Bike was not clean
FDBK000021,RIDE070885,1,4,,Bike was not clean
FDBK000022,RIDE029973,3,1,Long Wait Time,"Good service, will ride again"
FDBK000023,RIDE058162,5,1,,Ride was smooth and quick
FDBK000024,RIDE064742,1,3,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK000025,RIDE015546,3,3,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK000026,RIDE042161,3,2,Fare Overcharged,Not satisfied with behaviour
FDBK000027,RIDE068165,3,1,Captain Arrived Late,"Helmet not provided, unsafe"
FDBK000028,RIDE079630,1,4,Bike in Poor Condition,Fare charged was higher than expected
FDBK000029,RIDE044021,4,4,Captain Arrived Late,Ride experience could be better
FDBK000030,RIDE072125,2,3,Fare Overcharged,Fare charged was higher than expected
FDBK000031,RIDE043116,3,4,Captain Rude or Unfriendly,Captain arrived late
FDBK000032,RIDE059300,5,,Fare Overcharged,Fare charged was higher than expected
