payment_id,ride_id,payment_method,fare,discount_percent,discount_amount,final_amount,payment_status
PAY000001,RIDE000001,UPI,196.04,21.97,43.06,152.98,Paid
PAY000002,RIDE000002,Cash,405.71,0,0,405.71,Paid
PAY000003,RIDE000003,Wallet,475.94,0,0,475.94,Pending
PAY000004,RIDE000004,Wallet,332.72,18.78,62.5,270.22,Paid
PAY000005,RIDE000005,UPI,268.31,0,0,268.31,Paid
PAY000006,RIDE000006,UPI,216.66,0,0,216.66,Paid
PAY000007,RIDE000007,Card,441.12,0,0,441.12,Paid
PAY000008,RIDE000008,UPI,86.22,0,0,86.22,Paid
PAY000009,RIDE000009,Card,397.63,14.86,59.07,338.56,Paid
PAY000010,RIDE000010,UPI,277.92,0,0,277.92,Paid
PAY000011,RIDE000011,Card,260.68,0,0,260.68,Paid
PAY000012,RIDE000012,UPI,443.43,10.78,47.78,395.65,Paid
PAY000013,RIDE000013,Wallet,329.79,0,0,329.79,Paid
PAY000014,RIDE000014,Card,224.57,16.84,37.82,186.75,Paid
PAY000015,RIDE000015,Card,125.73,0,0,125.73,Paid
PAY000016,RIDE000016,UPI,478.94,17.79,85.2,393.74,Paid
PAY000017,RIDE000018,Wallet,456.38,0,0,456.38,Paid
PAY000018,RIDE000019,Card,103.11,11.85,12.22,90.89,Paid
PAY000019,RIDE000020,Wallet,324,0,0,324,Paid
PAY000020,RIDE000021,Wallet,299.64,0,0,299.64,Paid
PAY000021,RIDE000022,UPI,100.64,0,0,100.64,Paid
PAY000022,RIDE000023,Cash,303.68,10.01,30.39,273.29,Paid
PAY000023,RIDE000024,Card,471.58,0,0,471.58,Pending
PAY000024,RIDE000026,Wallet,154.79,20.04,31.03,123.76,Paid
PAY000025,RIDE000027,Card,211.58,21.99,46.53,165.05,Paid
PAY000026,RIDE000028,Card,419.66,11.54,48.41,371.25,Paid
PAY000027,RIDE000029,Wallet,330.02,0,0,330.02,Paid
PAY000028,RIDE000030,Cash,409.57,0,0,409.57,Paid
PAY000029,RIDE000031,Wallet,81.31,0,0,81.31,Pending
PAY000030,RIDE000032,Card,136.28,19.5,26.57,109.71,Paid
PAY000031,RIDE000033,Card,286.74,0,0,286.74,Pending
PAY000032,RIDE000034,Card,293,0,0,293,Paid
PAY000033,RIDE000035,Wallet,229.82,0,0,229.82,Paid
PAY000034,RIDE000036,Card,389.43,0,0,389.43,Paid
PAY000035,RIDE000037,Card,209.48,0,0,209.48,Pending
PAY000036,RIDE000038,Wallet,225.78,20.41,46.07,179.71,Paid
PAY000037,RIDE000039,Card,77.68,0,0,77.68,Paid
PAY000038,RIDE000040,Wallet,283.21,0,0,283.21,Paid
PAY000039,RIDE000041,Wallet,148.21,0,0,148.21,Pending
PAY000040,RIDE000042,Card,401.04,0,0,401.04,Paid
PAY000041,RIDE000043,Wallet,312.82,0,0,312.82,Paid
PAY000042,RIDE000044,Card,287.98,0,0,287.98,Paid
PAY000043,RIDE000045,Wallet,260.67,18.11,47.2,213.47,Paid
PAY000044,RIDE000046,Cash,443.51,0,0,443.51,Paid
PAY000045,RIDE000047,UPI,469.12,0,0,469.12,Pending
PAY000046,RIDE000048,Cash,392.18,0,0,392.18,Paid
PAY000047,RIDE000049,Wallet,312.12,0,0,312.12,Paid
PAY000048,RIDE000050,Wallet,190,0,0,190,Paid
PAY000049,RIDE000051,UPI,108.61,0,0,108.61,Paid
PAY000050,RIDE000052,Wallet,158.67,11.19,17.76,140.91,Paid
PAY000051,RIDE000053,Cash,78.12,20.87,16.31,61.81,Paid
PAY000052,RIDE000054,Wallet,379.03,0,0,379.03,Paid
PAY000053,RIDE000055,UPI,153.91,0,0,153.91,Paid
PAY000054,RIDE000056,Wallet,453.01,23.47,106.3,346.71,Paid
PAY000055,RIDE000057,Cash,394.97,0,0,394.97,Paid
PAY000056,RIDE000058,Card,218.22,0,0,218.22,Paid
PAY000057,RIDE000059,Card,190.74,23.51,44.85,145.89,Paid
PAY000058,RIDE000060,UPI,181.62,0,0,181.62,Paid
PAY000059,RIDE000061,UPI,125.63,0,0,125.63,Paid
PAY000060,RIDE000063,UPI,273.23,0,0,273.23,Paid
PAY000061,RIDE000064,Card,215.43,19.78,42.61,172.82,Paid
PAY000062,RIDE000065,Wallet,258.3,11.28,29.14,229.16,Paid
PAY000063,RIDE000066,UPI,290.74,0,0,290.74,Paid
PAY000064,RIDE000067,UPI,258.25,20.76,53.61,204.64,Paid
PAY000065,RIDE000068,Wallet,370.67,0,0,370.67,Paid
PAY000066,RIDE000069,Wallet,133,24.98,33.22,99.78,Paid
PAY000067,RIDE000070,UPI,372.88,0,0,372.88,Paid
PAY000068,RIDE000072,Cash,386.58,0,0,386.58,Paid
PAY000069,RIDE000073,UPI,98.7,0,0,98.7,Paid
PAY000070,RIDE000074,Cash,159.23,12.85,20.46,138.77,Paid
PAY000071,RIDE000075,UPI,304.51,11.58,35.27,269.24,Paid
PAY000072,RIDE000076,Cash,188.62,13.36,25.19,163.43,Paid
PAY000073,RIDE000077,Wallet,415.52,0,0,415.52,Paid
PAY000074,RIDE000079,Wallet,259.37,23.12,59.95,199.42,Paid
PAY000075,RIDE000080,UPI,167.08,16.02,26.77,140.31,Paid
PAY000076,RIDE000081,UPI,94.74,0,0,94.74,Paid
PAY000077,RIDE000082,Wallet,178.17,0,0,178.17,Pending
PAY000078,RIDE000083,UPI,234.79,24.09,56.57,178.22,Paid
PAY000079,RIDE000084,Card,285.61,14.86,42.45,243.16,Paid
PAY000080,RIDE000085,Card,243.92,10.64,25.95,217.97,Paid
PAY000081,RIDE000086,UPI,247.63,24.8,61.4,186.23,Paid
PAY000082,RIDE000088,UPI,291.76,0,0,291.76,Paid
PAY000083,RIDE000089,Wallet,58.8,24.71,14.53,44.27,Paid
PAY000084,RIDE000090,Cash,280.08,0,0,280.08,Paid
PAY000085,RIDE000091,Cash,216.76,11.52,24.98,191.78,Paid
PAY000086,RIDE000092,Card,372.07,20.39,75.87,296.2,Pending
PAY000087,RIDE000093,Card,161.81,0,0,161.81,Paid
PAY000088,RIDE000094,Cash,269.59,0,0,269.59,Paid
PAY000089,RIDE000095,UPI,358.19,21.91,78.48,279.71,Paid
PAY000090,RIDE000096,Cash,412.34,0,0,412.34,Paid
PAY000091,RIDE000097,Wallet,228.98,0,0,228.98,Paid
PAY000092,RIDE000098,UPI,69.24,19.44,13.46,55.78,Paid
PAY000093,RIDE000099,Wallet,383.24,0,0,383.24,Paid
PAY000094,RIDE000100,Cash,140.52,0,0,140.52,Paid
PAY000095,RIDE000101,UPI,379.29,21.56,81.79,297.5,Paid
PAY000096,RIDE000102,Wallet,222.07,17.14,38.06,184.01,Paid
PAY000097,RIDE000103,UPI,62.88,13.23,8.32,54.56,Paid
PAY000098,RIDE000104,UPI,248.17,15.25,37.85,210.32,Paid
PAY000099,RIDE000105,Cash,358.5,0,0,358.5,Paid
PAY000100,RIDE000106,UPI,107.78,11.5,12.39,95.39,Paid
PAY000101,RIDE000108,UPI,69.46,17.52,12.17,57.29,Paid
PAY000102,RIDE000111,Card,396.65,14.57,57.79,338.86,Paid
PAY000103,RIDE000112,Cash,236.05,19,44.84,191.21,Paid
PAY000104,RIDE000113,Wallet,357.67,24.96,89.29,268.38,Paid
PAY000105,RIDE000114,Cash,153.83,17.25,26.54,127.29,Paid
PAY000106,RIDE000115,Wallet,494.21,0,0,494.21,Paid
PAY000107,RIDE000116,Wallet,168.97,0,0,168.97,Paid
PAY000108,RIDE000117,Wallet,278.96,0,0,278.96,Paid
PAY000109,RIDE000118,Wallet,297.97,0,0,297.97,Paid
PAY000110,RIDE000119,UPI,288.91,0,0,288.91,Paid
PAY000111,RIDE000120,Card,194.73,0,0,194.73,Pending
PAY000112,RIDE000121,Cash,340.34,19.07,64.89,275.45,Paid
PAY000113,RIDE000122,Wallet,343.82,0,0,343.82,Paid
PAY000114,RIDE000123,Wallet,358.18,19.4,69.47,288.71,Paid
PAY000115,RIDE000124,Card,254.2,0,0,254.2,Paid
PAY000116,RIDE000125,Card,269.92,24.65,66.54,203.38,Paid
PAY000117,RIDE000126,Cash,288.1,15.52,44.72,243.38,Paid
PAY000118,RIDE000127,Wallet,267.68,14.64,39.19,228.49,Paid
PAY000119,RIDE000128,Cash,197.83,24.16,47.79,150.04,Paid
PAY000120,RIDE000129,UPI,260.66,13.39,34.89,225.77,Paid
PAY000121,RIDE000130,Cash,242.15,19.18,46.45,195.7,Paid
PAY000122,RIDE000131,Cash,435.1,17.91,77.91,357.19,Paid
PAY000123,RIDE000132,Card,149.17,0,0,149.17,Paid
PAY000124,RIDE000133,Wallet,64.43,0,0,64.43,Paid
PAY000125,RIDE000134,Wallet,250.4,24.55,61.47,188.93,Pending
PAY000126,RIDE000135,Card,92.23,11.65,10.75,81.48,Paid
PAY000127,RIDE000136,Wallet,95.28,15.78,15.03,80.25,Paid
PAY000128,RIDE000137,Wallet,142.26,0,0,142.26,Paid
PAY000129,RIDE000138,Wallet,387.42,0,0,387.42,Paid
PAY000130,RIDE000139,Card,421.7,0,0,421.7,Paid
PAY000131,RIDE000140,Wallet,284.86,0,0,284.86,Paid
PAY000132,RIDE000141,UPI,385.84,0,0,385.84,Paid
PAY000133,RIDE000142,Wallet,201.39,18.71,37.68,163.71,Paid
PAY000134,RIDE000143,Wallet,308.41,0,0,308.41,Paid
PAY000135,RIDE000144,UPI,243.89,0,0,243.89,Paid
PAY000136,RIDE000145,Wallet,484.24,15.66,75.84,408.4,Paid
PAY000137,RIDE000146,Cash,169.53,0,0,169.53,Paid
PAY000138,RIDE000147,Cash,386.58,0,0,386.58,Paid
PAY000139,RIDE000148,UPI,429.75,0,0,429.75,Pending
PAY000140,RIDE000149,UPI,198.25,0,0,198.25,Paid
PAY000141,RIDE000150,Cash,179.53,0,0,179.53,Paid
PAY000142,RIDE000152,UPI,264.81,0,0,264.81,Paid
PAY000143,RIDE000153,UPI,222.21,18.38,40.83,181.38,Paid
PAY000144,RIDE000154,UPI,454.42,0,0,454.42,Paid
PAY000145,RIDE000155,Card,381.25,11.52,43.92,337.33,Paid
PAY000146,RIDE000156,Cash,168.32,0,0,168.32,Paid
PAY000147,RIDE000157,Cash,388.32,0,0,388.32,Paid
PAY000148,RIDE000158,UPI,361.07,0,0,361.07,Paid
PAY000149,RIDE000159,Cash,344.94,0,0,344.94,Paid
PAY000150,RIDE000160,Cash,411.41,0,0,411.41,Paid
PAY000151,RIDE000161,Wallet,424.83,16.64,70.67,354.16,Paid
PAY000152,RIDE000162,Wallet,410.36,23.71,97.28,313.08,Paid
PAY000153,RIDE000163,Card,374.92,15.64,58.64,316.28,Paid
PAY000154,RIDE000164,Card,444.55,0,0,444.55,Paid
PAY000155,RIDE000165,Wallet,60.62,0,0,60.62,Paid
PAY000156,RIDE000166,Cash,221.59,14.22,31.5,190.09,Paid
