ride_id,user_id,captain_id,ride_date,pickup_loc,drop_loc,distance_km,duration_min,ride_status
RIDE000001,user11930,CP01664,,"Indiranagar, Bangalore","Whitefield, Bangalore",6.9,54,completed
RIDE000002,user05291,CP01577,8/22/2025,"Indiranagar, Bangalore","MG Road, Bangalore",13.97,120,completed
RIDE000003,user02776,CP02443,8/6/2025,"Koramangala, Bangalore","MG Road, Bangalore",16.04,108,cancelled
RIDE000004,user01999,CP01032,2025-08-22,"Indiranagar, Bangalore","Jayanagar, Bangalore",13.27,99,completed
RIDE000005,user10189,CP00501,8/30/2025,"Indiranagar, Bangalore","Whitefield, Bangalore",10.65,96,completed
RIDE000006,user06224,CP00059,08/09/2025,"Whitefield, Bangalore","Koramangala, Bangalore",8.3,83,cancelled
RIDE000007,user00554,CP00670,7/22/2025,"Gachibowli, Hyderabad","Banjara Hills, Hyderabad",16.81,120,completed
RIDE000008,user10729,CP01829,6/3/2025,"Indiranagar, Bangalore","Koramangala, Bangalore",3.22,31,cancelled
RIDE000009,user00630,CP01292,,"Whitefield, Bangalore","Jayanagar, Bangalore",14.5,120,completed
RIDE000010,user09155,CP00905,2025-08-10,"Banjara Hills, Hyderabad","Gachibowli, Hyderabad",9.66,110,cancelled
RIDE000011,user08592,CP01354,2025-07-28,"Whitefield, Bangalore","Indiranagar, Bangalore",9.51,46,completed
RIDE000012,user08920,CP01439,2025-06-18,"Indiranagar, Bangalore","MG Road, Bangalore",14.91,67,completed
RIDE000013,user00505,CP01535,2025-07-07,"Charminar, Hyderabad","Gachibowli, Hyderabad",11.57,78,completed
RIDE000014,user13113,CP01136,2025-06-20,"Koramangala, Bangalore","Whitefield, Bangalore",8.19,35,completed
RIDE000015,user11900,CP00367,2025-08-08,"Banjara Hills, Hyderabad","Secunderabad, Hyderabad",4.25,33,completed
RIDE000016,user04674,CP02323,8/2/2025,"Gachibowli, Hyderabad","Secunderabad, Hyderabad",17.14,92,completed
,user03914,CP00704,6/23/2025,"MG Road, Bangalore","Indiranagar, Bangalore",2.15,15,cancelled
RIDE000018,user04653,CP00816,8/11/2025,"Indiranagar, Bangalore","MG Road, Bangalore",15.48,111,cancelled
RIDE000019,user14656,CP00375,2025-07-23,"Gachibowli, Hyderabad","Jubilee Hills, Hyderabad",3.57,35,completed
